/イベントナンバー,アクションタイプ,立ち絵会話ナンバー,取得アイテムナンバー,取得アイテム個数,アイテム個数設定,アイテム所得演出の有無,取得装備ナンバー,取得装備個数,装備変更するキャラクター,装備所得演出の有無,追加キャラクター,追加/脱退,キャラクター追加演出の有無,習得スキルナンバー,習得キャラクター,習得/忘却,スキル習得演出の有無,移動後のX座標,移動後のY座標,移動演出の有無,移動後の階数,部屋ナンバー,移動演出の有無,移動後の階数,全回復演出の有無,場面ナンバー,場面変更の演出,フラグナンバー,ON/OFF,参照フラグナンバー
65,6,,,,,,,,,,,,,,,,,13,11,0,2,,,,,,,,,0
66,6,,,,,,,,,,,,,,,,,14,21,0,2,,,,,,,,,0
67,6,,,,,,,,,,,,,,,,,16,2,0,2,,,,,,,,,0
68,6,,,,,,,,,,,,,,,,,19,7,0,2,,,,,,,,,0
69,6,,,,,,,,,,,,,,,,,23,4,0,2,,,,,,,,,0
70,6,,,,,,,,,,,,,,,,,19,12,0,2,,,,,,,,,0
71,6,,,,,,,,,,,,,,,,,22,16,0,2,,,,,,,,,0
72,6,,,,,,,,,,,,,,,,,21,20,0,2,,,,,,,,,0
73,9,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,10
,5,,,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,10
,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,6,,,,,,,,,,,,,,,,,11,24,0,3,,,,,,,,,10
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,10
74,7,,,,,,,,,,,,,,,,,,,,,34,0,3,,,,,,0
75,7,,,,,,,,,,,,,,,,,,,,,35,0,3,,,,,,0
76,7,,,,,,,,,,,,,,,,,,,,,36,0,3,,,,,,0
77,7,,,,,,,,,,,,,,,,,,,,,37,0,3,,,,,,0
78,7,,,,,,,,,,,,,,,,,,,,,38,0,3,,,,,,0
79,7,,,,,,,,,,,,,,,,,,,,,39,0,3,,,,,,0
80,7,,,,,,,,,,,,,,,,,,,,,40,0,3,,,,,,0
81,7,,,,,,,,,,,,,,,,,,,,,41,0,3,,,,,,0
82,7,,,,,,,,,,,,,,,,,,,,,42,0,3,,,,,,0
83,7,,,,,,,,,,,,,,,,,,,,,43,0,3,,,,,,0
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,11
84,7,,,,,,,,,,,,,,,,,,,,,44,0,3,,,,,,0
85,7,,,,,,,,,,,,,,,,,,,,,45,0,3,,,,,,0
86,7,,,,,,,,,,,,,,,,,,,,,46,0,3,,,,,,0
87,7,,,,,,,,,,,,,,,,,,,,,47,0,3,,,,,,0
88,6,,,,,,,,,,,,,,,,,2,6,0,3,,,,,,,,,0
89,6,,,,,,,,,,,,,,,,,2,13,0,3,,,,,,,,,0
90,6,,,,,,,,,,,,,,,,,3,17,0,3,,,,,,,,,0
91,6,,,,,,,,,,,,,,,,,3,22,0,3,,,,,,,,,0
92,6,,,,,,,,,,,,,,,,,10,1,0,3,,,,,,,,,0
93,6,,,,,,,,,,,,,,,,,10,16,0,3,,,,,,,,,0
94,6,,,,,,,,,,,,,,,,,12,22,0,3,,,,,,,,,0
95,6,,,,,,,,,,,,,,,,,16,1,0,3,,,,,,,,,0
96,6,,,,,,,,,,,,,,,,,13,5,0,3,,,,,,,,,0
97,6,,,,,,,,,,,,,,,,,15,8,0,3,,,,,,,,,0
98,6,,,,,,,,,,,,,,,,,19,16,0,3,,,,,,,,,0
99,6,,,,,,,,,,,,,,,,,16,22,0,3,,,,,,,,,0
100,6,,,,,,,,,,,,,,,,,19,2,0,3,,,,,,,,,0
101,6,,,,,,,,,,,,,,,,,22,22,0,3,,,,,,,,,0
102,9,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,12
,6,,,,,,,,,,,,,,,,,10,11,1,3,,,,,,,,,12
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,12
103,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,4,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,13
,4,,,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,13
,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,13
104,9,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,14
